filename,split,status,original_size,processed_size,error
train\images\02_18_10_18_png.rf.0c79df4025237d4b5159d70e03e6d1b0.jpg,train,processed,1920x1080,640x640,
train\images\02_18_10_18_png.rf.e9e5c3ee09a25411ae395802a2599478.jpg,train,processed,1920x1080,640x640,
train\images\02VPARJRC8H6_jpg.rf.09fe94648696f9a9c7d0ac645847d0c7.jpg,train,processed,256x256,640x640,
train\images\02VPARJRC8H6_jpg.rf.86a41e25672d8e8c089d37015bbe7bd4.jpg,train,processed,256x256,640x640,
train\images\04F0IM5M5OA0_jpg.rf.7c9d6e2cc8fe618331df73a994076118.jpg,train,processed,256x256,640x640,
train\images\04F0IM5M5OA0_jpg.rf.92c42b3d2f185f1454601388a6956d1a.jpg,train,processed,256x256,640x640,
train\images\05_58_24_12_png.rf.2a6815a850faf0c38e246b0ec1aa9eb0.jpg,train,processed,713x486,640x640,
train\images\05_58_24_12_png.rf.9c37b5cf207cc9cac045e9a85afaaa24.jpg,train,processed,713x486,640x640,
train\images\070DZHHFORT7_jpg.rf.1806ffa3dada02584ed4080e8402ca67.jpg,train,processed,256x256,640x640,
train\images\070DZHHFORT7_jpg.rf.db9c95921f7b150c1b89e9917a996d93.jpg,train,processed,256x256,640x640,
train\images\07F9I49LW2C5_jpg.rf.062e76ebbda2590e4b5446d9d5000f30.jpg,train,processed,256x256,640x640,
train\images\07F9I49LW2C5_jpg.rf.ea83e8f2ec8c0240225fd520b0b41a86.jpg,train,processed,256x256,640x640,
train\images\08_11_58_23_png.rf.09959b9e2c1a5b6e928442d0a6d16af5.jpg,train,processed,714x486,640x640,
train\images\08_11_58_23_png.rf.d9c6ea5beed0c53ee504d0d43a11d196.jpg,train,processed,714x486,640x640,
train\images\08_12_04_07_png.rf.08abb42a03347e7e52c330886e8e7ad7.jpg,train,processed,714x486,640x640,
train\images\08_12_04_07_png.rf.16ccee2f41f4a3a6862ee5bdef96a5e1.jpg,train,processed,714x486,640x640,
train\images\08_12_10_07_png.rf.45dbeccdabdb4332fc66081d9591969d.jpg,train,processed,714x486,640x640,
train\images\08_12_10_07_png.rf.ae3ffeb0392ed95c8607651ec77e474a.jpg,train,processed,714x486,640x640,
train\images\08_12_30_22_png.rf.9e59ff676736891f08f8227678e69fe6.jpg,train,processed,714x486,640x640,
train\images\08_12_30_22_png.rf.aa41bf67e5d7ab955ee949a8fda7eb12.jpg,train,processed,714x486,640x640,
train\images\08_12_36_07_png.rf.31d087cc704dfd07b7f05afe8bfac15e.jpg,train,processed,714x486,640x640,
train\images\08_12_36_07_png.rf.e84af567dda0c8431f00760cf892976e.jpg,train,processed,714x486,640x640,
train\images\08_12_42_06_png.rf.04c5dd27d0c4b42f1a33a3154b94d883.jpg,train,processed,714x486,640x640,
train\images\08_12_42_06_png.rf.63ea5f29ece05dd411e0c7927db232c2.jpg,train,processed,714x486,640x640,
train\images\0B8QEL6ARGX0_jpg.rf.06aa6feae473ca8908b823ccf9310e30.jpg,train,processed,256x256,640x640,
train\images\0B8QEL6ARGX0_jpg.rf.5fa147dc7faae93e4f7c1eb59ec31077.jpg,train,processed,256x256,640x640,
train\images\0C5Z9ZGY83N7_jpg.rf.2e4045e51ab32fed92c2f895266777a6.jpg,train,processed,256x256,640x640,
train\images\0C5Z9ZGY83N7_jpg.rf.a855048245f4107f8245fa0c6ab9514b.jpg,train,processed,256x256,640x640,
train\images\0CG4SET468P4_jpg.rf.0f0b91b8eb5540574d09a91f1afc3b55.jpg,train,processed,256x256,640x640,
train\images\0CG4SET468P4_jpg.rf.9526b3fee39a7c0521e5bcb3d29bcad2.jpg,train,processed,256x256,640x640,
train\images\0D4H0WIBKCLU_jpg.rf.162f820aae896e0036837fd49659e3b8.jpg,train,processed,256x256,640x640,
train\images\0D4H0WIBKCLU_jpg.rf.2668bdb0d1f87690bd2eb7b44772c60c.jpg,train,processed,256x256,640x640,
train\images\0E3QEFFNWLE7_jpg.rf.a03ccfc168d8e6aed6a3cadce3f7909a.jpg,train,processed,256x256,640x640,
train\images\0E3QEFFNWLE7_jpg.rf.ffca183539c7c3249ef76ced7de4fe65.jpg,train,processed,256x256,640x640,
train\images\0G2YDIPIWUFR_jpg.rf.4599abba370f88e06b9f164e4c2af1c8.jpg,train,processed,256x256,640x640,
train\images\0G2YDIPIWUFR_jpg.rf.fe7c6778d55f1bc3b0496349e21b5f15.jpg,train,processed,256x256,640x640,
train\images\0HM9KWRRG6FN_jpg.rf.599cee0dcb780005982d5f520aa814c3.jpg,train,processed,256x256,640x640,
train\images\0HM9KWRRG6FN_jpg.rf.79a8b2e8d49195870cc73e7ed725b10c.jpg,train,processed,256x256,640x640,
train\images\0HM9KWRRG6FN_jpg.rf.8d70e3c5d734c6575a35c847223e3991.jpg,train,processed,64x64,640x640,
train\images\0HM9KWRRG6FN_jpg.rf.f50dc56b30e1543e8754138a4dd5b0cc.jpg,train,processed,64x64,640x640,
train\images\0JHJMPLA6DZN_jpg.rf.1fc315eccc2aa176c589341299e7bdca.jpg,train,processed,256x256,640x640,
train\images\0JHJMPLA6DZN_jpg.rf.2bea15e2a5d8f0ba2d5d691bd4cf9559.jpg,train,processed,256x256,640x640,
train\images\0JHJMPLA6DZN_jpg.rf.b48e1ef7565ee6f1bf03b6d4d154ee7e.jpg,train,processed,64x64,640x640,
train\images\0JHJMPLA6DZN_jpg.rf.cf1129443ab39a4834fdacec23268562.jpg,train,processed,64x64,640x640,
train\images\0N2N36LGEQC2_jpg.rf.29e16be642879c3ddac1d1ff027f8b2a.jpg,train,processed,64x64,640x640,
train\images\0N2N36LGEQC2_jpg.rf.42e36bcaf60040d63bbfbba7543f6516.jpg,train,processed,64x64,640x640,
train\images\0NVJY2JSNNA5_jpg.rf.2c938abcb9b56212dddd12614b4931a6.jpg,train,processed,64x64,640x640,
train\images\0NVJY2JSNNA5_jpg.rf.4311ff855594f397a15bf0f81ffa7c0b.jpg,train,processed,64x64,640x640,
train\images\0P2JZCG8P9IU_jpg.rf.47109ff91ddcb4d7787a179966c32631.jpg,train,processed,256x256,640x640,
train\images\0P2JZCG8P9IU_jpg.rf.67dc4ee724699a628477a4326952af3d.jpg,train,processed,256x256,640x640,
train\images\0Q9939L5NFFS_jpg.rf.7024860e1ec7cd38c425ee35d894c056.jpg,train,processed,256x256,640x640,
train\images\0Q9939L5NFFS_jpg.rf.a4f118645b20e1e558128d3a26ecf48a.jpg,train,processed,256x256,640x640,
train\images\0QLLA4AMZ5Z7_jpg.rf.117835af63cb5d2b14cf2db9ba000eca.jpg,train,processed,256x256,640x640,
train\images\0QLLA4AMZ5Z7_jpg.rf.db5bb52ab55cd42c78c6497b347123f3.jpg,train,processed,256x256,640x640,
train\images\0QYDEP1K09K7_jpg.rf.2ac5edb9bf28f014178fed87689e9a9c.jpg,train,processed,256x256,640x640,
train\images\0QYDEP1K09K7_jpg.rf.43ead217ad5156fd58eaae4c2092be57.jpg,train,processed,256x256,640x640,
train\images\0TDC48FEWH6F_jpg.rf.9f4a8d1a7f588cdb9796edc6c41783b0.jpg,train,processed,256x256,640x640,
train\images\0TDC48FEWH6F_jpg.rf.a8062f865d4a5f69410aba1e8faebe8c.jpg,train,processed,256x256,640x640,
train\images\0TTP86IHUGD1_jpg.rf.d1744445813a44a6d9104fb32e4125db.jpg,train,processed,256x256,640x640,
train\images\0TTP86IHUGD1_jpg.rf.f8b7f36827f3eecb8a6c6d07e7274ca3.jpg,train,processed,256x256,640x640,
train\images\0V4CS7PMAEI2_jpg.rf.75bd5038058bb45efc84fbedf0be6f44.jpg,train,processed,256x256,640x640,
train\images\0V4CS7PMAEI2_jpg.rf.a88ec3a91296db0d349cfa9de737c8c7.jpg,train,processed,256x256,640x640,
train\images\0XO5VK05V8L8_jpg.rf.89516d57571c1ef9b7957bbac6b6178e.jpg,train,processed,256x256,640x640,
train\images\0XO5VK05V8L8_jpg.rf.d8dd54a410dce6cd585174bb8d9b5c37.jpg,train,processed,256x256,640x640,
train\images\0XP7GE4ZLEBB_jpg.rf.96a7d9074ea5c461023b87fc872a4220.jpg,train,processed,256x256,640x640,
train\images\0XP7GE4ZLEBB_jpg.rf.d9c59599170565e2c7a389376e548691.jpg,train,processed,256x256,640x640,
train\images\0XUFMZ2BWEFE_jpg.rf.484eefcf48bf4e989ac7aea69bbfd623.jpg,train,processed,256x256,640x640,
train\images\0XUFMZ2BWEFE_jpg.rf.c5e3fc7d3601a09807d1e985562b3e38.jpg,train,processed,256x256,640x640,
train\images\0Y04XA27Q7IU_jpg.rf.7d7333221166759b699e5c529435aa61.jpg,train,processed,256x256,640x640,
train\images\0Y04XA27Q7IU_jpg.rf.d42dd0d5de5d599636c6363de832b333.jpg,train,processed,256x256,640x640,
train\images\0ZV7LUTHOH7V_jpg.rf.101846401b7dcf0fa6ea81cf1601cca4.jpg,train,processed,256x256,640x640,
train\images\0ZV7LUTHOH7V_jpg.rf.d08fcb551378e373b7d2c1fabc544044.jpg,train,processed,256x256,640x640,
train\images\10012172044_a80ec7f94a_o_jpg.rf.3fca2dc2a46597d28a2c1c7ac13215bf.jpg,train,processed,300x225,640x640,
train\images\10012172044_a80ec7f94a_o_jpg.rf.7722e795d75c5098f6974019095b5087.jpg,train,processed,300x225,640x640,
train\images\10080209403_8ef65bf718_b_jpg.rf.0e2f422f807b7061fcfe6c7704bb0aa1.jpg,train,processed,300x270,640x640,
train\images\10080209403_8ef65bf718_b_jpg.rf.d3ff433bccd195d1e5844e14956c76bc.jpg,train,processed,300x270,640x640,
train\images\10114040425_17dee04f2d_o_jpg.rf.9343f56fb808f3d973cf955a1788e703.jpg,train,processed,300x200,640x640,
train\images\10114040425_17dee04f2d_o_jpg.rf.c6eb7f8f5a80569c8023e565fde57ce5.jpg,train,processed,300x200,640x640,
train\images\10132329794_b3cff0fb0c_o_jpg.rf.a3dd9d8dfd3f28ff3ac5771d92e5f2ea.jpg,train,processed,300x225,640x640,
train\images\10132329794_b3cff0fb0c_o_jpg.rf.e0179f35da67dc3abad3cefa998337d7.jpg,train,processed,300x225,640x640,
train\images\1021968748_d291a5bd1b_o_jpg.rf.721d4935785dbdd6e7c4c33836124c5b.jpg,train,processed,300x225,640x640,
